Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_1,scl_md_2,scl_md_3,scl_md_4,scl_md_5,scl_md_6,scl_md_ol,lnl_1,lnl_2,lnl_3,lnl_4,lnl_5,lnl_6,lnl_7,lnl_8,lnl_9,lnl_10,lnl_11,lnl_12,lnl_13,lnl_14,lnl_15,lnl_16,lnl_17,lnl_18,lnl_19,lnl_20,lnl_ol,compuls
20,0,2,4,3,4,3,2,2,1,2,1,1,4,1,1,2,2,3,2,2,3,14,2,2,2,2,1,1,3,3,2,1,3,2,3,2,2,1,4,4,1,1,64,7
20,1,2,1,3,1,3,2,2,1,2,1,1,3,0,1,1,1,3,2,3,3,13,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,52,1
22,1,3,4,4,4,3,3,2,1,2,1,2,1,1,1,1,3,2,5,1,4,16,3,2,1,3,1,3,1,2,3,4,3,2,3,3,3,3,1,3,4,3,41,7
19,1,1,1,4,2,3,4,2,2,2,1,2,4,1,0,4,1,3,1,2,1,12,4,1,1,4,4,3,1,1,1,4,1,2,1,1,4,4,1,1,4,4,25,1
18,0,1,3,3,1,2,2,4,1,2,1,0,1,1,2,3,1,2,3,3,1,13,3,3,2,2,3,3,3,3,3,4,2,2,2,3,3,2,1,3,4,3,44,4
25,0,1,3,3,3,3,2,2,2,2,1,0,1,0,1,3,3,4,3,2,4,19,3,2,3,4,2,2,2,2,3,2,2,2,3,3,2,1,1,4,2,2,51,5
20,1,3,1,2,4,1,2,2,2,2,1,0,1,0,1,1,2,2,2,4,3,14,4,4,2,4,4,4,1,2,3,4,2,3,3,3,2,4,2,1,4,4,36,1
19,0,1,3,3,3,3,2,2,2,2,3,2,3,0,1,2,3,3,2,1,1,12,4,3,2,2,4,3,1,3,2,4,3,2,3,1,2,3,1,2,3,3,41,5
20,0,3,3,1,1,1,1,2,1,2,1,0,2,0,2,1,1,2,3,1,2,10,3,1,1,3,4,4,1,1,2,4,1,1,1,1,4,4,3,1,4,3,27,5
18,0,1,1,2,1,1,1,1,1,2,1,0,1,0,0,1,1,1,1,1,1,6,1,2,1,3,1,1,2,2,1,3,1,1,1,3,1,3,1,3,3,3,47,1.5
19,1,1,1,4,3,5,4,2,2,2,1,0,3,0,1,1,1,1,2,2,2,9,3,2,1,3,3,3,1,2,3,4,2,3,2,2,4,4,4,3,4,4,37,1
20,1,2,4,1,2,3,2,1,2,2,2,1,4,1,1,3,4,4,4,3,4,22,2,3,2,4,3,2,2,3,3,1,2,1,1,2,3,3,3,3,2,3,46,7.5
19,0,3,3,4,1,1,1,1,1,2,1,0,1,0,1,1,1,3,1,1,1,8,4,2,3,2,3,3,1,1,3,4,3,1,3,3,3,3,3,3,4,4,40,5.5
20,0,3,3,2,4,3,3,2,2,2,1,1,3,0,1,2,3,4,3,1,4,17,3,2,1,3,3,3,2,1,3,4,2,1,3,2,2,3,2,2,4,4,36,5
20,1,3,1,1,4,3,2,1,2,2,1,0,1,1,1,1,3,1,3,1,1,10,4,1,1,4,4,3,1,1,3,4,1,1,3,1,4,4,1,1,4,4,24,1.5
20,0,3,3,4,1,1,2,2,2,2,1,0,2,0,1,3,2,1,1,1,1,9,4,1,1,4,4,4,1,1,2,4,1,1,1,1,4,4,1,1,4,4,22,5
18,1,1,1,4,1,1,2,2,2,1,1,1,4,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1
22,1,3,3,3,4,3,3,4,2,2,1,0,4,0,0,1,1,4,1,1,1,9,4,3,3,1,3,3,2,1,1,3,1,2,4,4,1,1,2,4,2,2,55,4
20,1,3,1,3,1,1,2,2,2,2,1,0,3,1,2,2,2,2,2,2,2,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,1
21,1,3,1,4,3,2,2,2,2,2,1,0,1,1,0,2,2,3,2,3,2,14,3,3,4,3,3,2,3,3,3,4,3,2,2,2,3,4,3,3,4,3,46,1
19,0,1,1,3,1,2,2,2,2,2,1,0,2,1,2,2,2,3,2,1,2,12,3,2,1,4,4,4,1,1,3,4,2,2,1,1,4,4,1,2,4,4,26,1
22,0,3,1,1,2,5,4,2,2,2,2,1,1,1,1,3,3,3,3,3,3,18,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,51,1
19,1,1,3,2,4,2,2,1,2,2,3,0,1,1,1,3,3,2,3,3,4,18,4,3,2,3,4,3,4,4,2,4,3,3,3,3,3,3,4,3,3,3,50,5.5
19,0,3,3,3,2,3,2,4,2,2,1,2,4,0,1,1,2,2,5,3,3,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,4
21,0,3,3,1,1,4,2,1,1,2,3,1,4,0,1,1,2,5,3,1,3,15,4,1,1,4,4,4,1,1,4,4,2,2,2,1,1,4,1,1,4,4,26,5.5
20,1,3,1,4,4,3,2,1,2,2,1,0,1,0,2,1,1,1,1,1,1,6,2,2,1,3,1,3,1,2,1,2,1,3,1,1,4,4,3,3,4,3,41,1.5
22,1,3,3,4,3,3,4,2,4,1,1,0,1,0,2,1,4,3,3,2,1,14,2,3,3,4,3,1,3,4,1,3,2,2,3,2,4,3,4,4,4,3,52,5
22,1,3,1,3,3,3,2,1,1,2,1,0,4,0,1,1,1,1,1,1,1,6,3,1,1,3,3,3,1,1,2,4,2,1,3,2,2,4,1,2,4,4,33,1.5
20,0,3,4,3,2,5,2,2,1,2,1,1,1,0,1,1,2,3,2,3,3,14,2,1,3,4,3,3,1,1,3,4,1,2,3,2,4,4,2,1,4,4,32,7
21,0,3,3,3,1,1,2,2,2,2,1,0,3,1,1,1,3,2,1,2,3,12,2,3,1,3,3,3,3,3,1,2,3,1,2,2,3,3,3,3,3,3,48,5
