Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_ol,lnl_ol,compuls
21,1,2,1,2,3,2,3,2,2,2,1,1,3,0,1,14,42,1
18,1,1,1,4,4,5,3,2,3,1,3,0,4,0,1,14,54,1
21,0,1,3,4,1,1,2,2,2,2,2,0,3,1,1,17,50,5
19,1,3,3,1,3,5,2,2,2,2,2,2,4,0,1,13,44,5
20,0,3,3,1,1,3,2,4,2,2,1,1,3,1,1,19,36,4
20,1,3,1,2,2,2,2,0,1,2,1,0,3,1,2,8,47,2
21,1,3,4,1,4,1,2,1,2,2,3,1,3,1,1,25,65,7.5
19,0,1,5,3,1,5,3,1,2,1,1,0,1,0,2,22,39,9.5
20,1,3,1,3,2,3,1,1,3,2,1,0,4,1,0,16,47,1.5
21,1,3,1,2,3,3,2,2,1,2,1,2,1,1,1,11,53,1
19,1,1,1,1,1,1,2,1,3,2,2,0,3,0,0,11,57,1.5
19,1,3,4,3,1,5,3,4,4,2,1,0,3,0,1,16,71,6
20,1,3,1,1,1,1,2,1,2,2,1,1,4,0,1,14,50,1.5
20,1,4,4,1,2,3,3,4,3,2,1,2,4,1,1,13,40,6
20,0,3,1,4,4,2,2,2,1,2,1,0,2,0,0,8,27,1
20,1,4,1,3,1,2,3,2,2,2,1,1,3,1,1,12,45,1
20,1,3,2,2,2,1,2,1,1,2,3,1,3,0,1,18,48,3.5
19,1,1,2,1,1,5,3,1,1,1,2,2,1,0,1,9,50,3.5
20,1,3,1,2,2,3,2,1,2,2,1,0,1,1,1,6,30,1.5
19,1,1,2,4,2,1,2,2,2,2,1,0,3,0,1,12,46,3
22,0,3,1,4,1,1,2,1,1,2,1,1,1,1,2,14,47,1.5
18,1,1,3,1,2,2,2,2,1,2,1,0,3,1,1,7,33,5
22,1,4,3,4,1,1,2,2,3,2,1,0,4,0,1,7,23,5
19,1,1,1,4,4,3,3,2,2,2,1,0,4,0,1,10,47,1
20,1,3,2,1,1,2,1,1,2,2,3,1,4,0,1,9,50,3.5
21,1,3,2,1,4,1,2,2,1,2,1,2,4,0,0,12,40,3
21,1,3,2,3,3,3,2,1,2,2,2,1,1,0,1,18,38,3.5
21,0,3,3,1,1,1,2,2,1,2,1,2,1,0,1,14,65,5
20,1,3,3,3,4,3,3,2,1,2,1,1,1,1,0,12,35,5
21,1,3,1,4,3,4,2,1,2,2,1,2,4,1,1,8,41,1.5
18,1,1,1,3,3,3,3,1,1,1,3,2,3,1,1,13,66,1.5
20,1,1,1,3,1,2,2,2,1,2,3,0,1,0,0,9,47,1
18,1,1,2,4,4,2,2,1,1,1,1,1,1,1,2,12,38,3.5
20,1,3,3,3,4,1,1,2,3,2,1,0,3,1,1,17,34,5
18,1,1,2,1,3,1,1,2,3,2,1,0,1,0,0,23,69,3
19,1,3,3,3,1,3,1,1,1,2,1,0,1,0,1,11,37,5.5
19,1,1,1,2,4,3,3,1,1,2,3,0,4,0,1,7,50,1.5
19,1,1,1,4,1,3,1,1,1,2,1,0,4,0,0,6,57,1.5
20,1,1,1,1,4,3,3,2,1,2,3,2,3,0,1,19,64,1
